artist,year,occurrences,title
Blue Öyster Cult,1973,118,Flaming Telepaths
Shout Out Louds,2011,118,Impossible
Little Texas,1993,118,What Might Have Been
Touché Amoré,2008,118,Broken Records
Laleh,2009,118,Live Tomorrow
Os Paralamas Do Sucesso,1990,117,O Beco
Left Lane Cruiser,2006,117,Pork 'n' Beans
Siouxsie and the Banshees,1980,117,Clockface
The Ting Tings,2012,117,Give It Back
Gordon Lightfoot,1993,117,Canadian Railroad Trilogy
Slipknot,2009,117,Surfacing
Alesana,2007,117,Apology
Title Fight,2009,117,Introvert
Gordon Lightfoot,1975,117,Carefree Highway
Voicst,2008,117,Feel Like A Rocket
HORSE the band,2009,117,Cloudwalker
Moving Fusion,1998,117,Turbulence
Warpaint,2016,117,New Song
M.I.A.,2013,117,Karmageddon
Snail Mail,2018,117,Pristine
Bauhaus,1983,117,King Volcano
The Twilight Sad,2009,117,I Became a Prostitute
Pharmakon,2013,117,Ache
The Gathering,1992,117,In Sickness And Health
Powerwolf,2014,117,Midnight Messiah
Stratus,2004,117,You Must Follow (Evol Intent VIP)
Sonic Youth,2000,117,Renegade Princess
Virtual Boy,2011,117,Mass
Bon Iver,2012,117,Towers
Jacques Greene,2011,116,Another Girl
Skalpel,2003,116,Break In
Devo,1982,116,Time Out For Fun
Polarkreis 18,2008,116,The Colour Of Snow
Jazzamor,2006,116,Song for Maggie
Periphery,2012,116,Scarlet
Red Hot Chili Peppers,2006,116,Tell Me Baby
Talking Heads,1983,116,Making Flippy Floppy
Joaquín Sabina,2019,116,Y Sin Embargo
Psapp,2004,116,Northdown Flat B1
Benny Benassi,2011,116,House Music
Loco Dice,2008,116,M Train to Brooklyn
Portugal. The Man,2010,116,All My People
The Presidents of the United States of America,2004,116,Love Everybody
Cryptopsy,2005,116,The Frantic Pace Of Dying
September,2007,116,Because I Love You
Oathbreaker,2013,116,Upheaval
Led Zeppelin,1975,116,In My Time of Dying
Umphrey's McGee,2004,116,In the Kitchen
Soul Asylum,1992,116,Just Like Anyone
Anja Garbarek,2001,116,Spin The Context
Os Mutantes,1972,116,Balada Do Louco
Acceptance,2002,116,Permanent
Ben Westbeech,2011,116,So Good Today
One Direction,2014,116,Story of My Life
Tricky,2003,116,What Is Wrong
Vince Guaraldi Trio,2009,115,Charlie Brown Theme
Arab Strap,1996,115,The First Big Weekend
Andrea Doria,2009,115,Bucci Bag
Hey,2000,115,Sans Toi
Ludovico Einaudi,2002,115,Melodia Africana II
Staind,2012,115,Spleen
Blood Axis,1995,115,Absinthe
Red,2009,115,Start Again
Deuter,2007,115,Kindred Spirit
James Blunt,2005,115,Billy
The Walkmen,2001,115,We've Been Had
Taylor Swift,2010,115,Enchanted
Goatsnake,2000,115,El Coyote
O Rappa,2008,115,Súplica Cearense
Lao Che,2008,115,Hiszpan
Tomte,2003,115,Die Schönheit der Chance
Washed Out,2011,115,Amor Fati
Into Eternity,2004,114,Point Of Uncertainty
Modulate,2014,114,Hard And Dirty
Versailles,2007,114,INTRO
Dua Lipa,2016,114,Be The One
Sonic Youth,2009,114,No Way
Message To Bears,2009,114,Hidden Beneath
Soilwork,2007,114,Sick Heart River
Modwheelmood,2009,114,Problem Me
Primal Scream,2000,114,Blood Money
Kataklysm,2008,114,To The Throne Of Sorrow
Vibrasphere,2004,114,Manzanilla
Tori Amos,2009,114,Flavor
Estopa,1999,114,Cacho A Cacho
Hatebreed,2011,114,Live For This
Stiff Little Fingers,1992,114,Suspect Device
Yesterday's New Quintet,2001,114,The One Who Knows
9mm Parabellum Bullet,2008,114,Living Dying Message
Karmin,2012,114,Brokenhearted
Mono,2007,114,Black Woods
Einstürzende Neubauten,1983,114,Kalte Sterne
Lou Reed,2002,114,Andy's Chest
For My Pain...,2003,114,Rapture of Lust
Luke Vibert,1996,114,Funky Acid Stuff
Sam Roberts,2007,114,Bridge To Nowhere
Natalie Imbruglia,2001,114,Wishing I Was There
Broadcast,2006,114,One Hour Empire
Darker My Love,2008,113,Two Ways Out
The Ocean,2008,113,Hadean
DragonForce,2008,113,The Fire Still Burns
The Stone Roses,1992,113,Mersey Paradise
Lhasa,1998,113,El Payande
Lafee,2006,113,Prinzesschen
Dobet Gnahoré,2014,113,Palea
LTJ Bukem,2002,113,Journey Inwards
Sambassadeur,2007,113,That Town
Aaliyah,2003,113,I Don't Wanna
The Red Chord,2007,113,Open Eyed Beast Attack
Anastacia,2009,113,I'm Outta Love
Elvenking,2011,113,The Divided Heart
Metronomy,2014,113,Month of Sundays
Freedom Call,2005,113,Hero Nation
Caspian,2010,113,Malacoda
Aterciopelados,2016,112,Florecita Rockera
Jack Johnson,2012,112,Breakdown
Brian Eno,2010,112,By This River
Shai Hulud,2008,112,Set Your Body Ablaze
Donny Hathaway,2010,112,Someday We'll All Be Free
Katatonia,1996,112,Rainroom
Bloodbath,2000,112,Breeding Death
Morrissey,1997,112,Hold On To Your Friends
Vast,2007,112,I Am a Vampire
Albert King,2003,112,As The Years Go Passing By
The Blackwood Brothers,2014,112,It Is Finished
DJ Shadow,2012,112,You Can't Go Home Again
Townes Van Zandt,2013,112,No Place To Fall
Moonspell,2012,112,Axis Mundi
Slipknot,2014,112,My Plague
Van Morrison,2009,112,Beside You
Ania,2010,112,Suicide Is Painless
Jimi Hendrix,1967,112,One Rainy Wish
Kate Bush,1980,112,The Wedding List
Sola Rosa,2011,112,Del Ray
A Sunny Day In Glasgow,2009,112,Nitetime rainbows
J. Cole,2018,112,ATM
Freeland,2003,112,Big Wednesday
Foo Fighters,2008,111,"Cheer Up, Boys (Your Make Up Is Running)"
Days of the New,2001,111,Die Born
Sanctuary,1990,111,Eden Lies Obscured
Kenny Burrell,2014,111,Midnight Blue
Máire Brennan,1992,111,Against The Wind
Cirrus,1998,111,Back On a Mission
Autechre,1993,111,Basscadet
Gregory Alan Isakov,2013,111,Second Chances
Scorpions,1980,111,Make It Real
Nothing More,2014,111,Jenny
Quo Vadis,2004,111,Silence Calls the Storm
Orchestral Manoeuvres in the Dark,1983,111,Telegraph
The MFA,2011,111,The Difference It Makes
Swallow the Sun,2003,111,Out of This Gloomy Light
Manic Street Preachers,1992,111,4st 7lb
Walls of Jericho,2010,111,I Know Hollywood And You Ain't It
The Beta Band,2011,111,Troubles
Queen,2011,111,Who Wants to Live Forever
Anastacia,2008,111,Left Outside Alone
Gary Numan,2004,111,Dead Heaven
Actress,2012,111,Raven
PsyOpus,2009,110,.44
Siouxsie,2007,110,One Mile Below
Battles,2011,110,Futura
Helium Vola,2001,110,Minne Und Treue
Pain of Salvation,2007,110,Spitfall
Fennesz,2004,110,Transit
John Anderson,2004,110,Straight Tequila Night
Drake,2016,110,One Dance
Cathedral,1995,110,Utopian Blaster
Beth Orton,1997,110,I Wish I Never Saw The Sunshine
Joan Baez,2012,110,Silver Dagger
OSI,2009,110,The Escape Artist
Sonic Youth,1985,110,I Love Her All The Time
Method Man,1995,110,What The Blood Clot
Kim Wilde,2015,110,Cambodia
Haste the Day,2005,110,Bleed Alone
Colony 5,2008,110,Knives
The Divine Comedy,2011,110,Our Mutual Friend
Candlemass,2005,110,The Man Who Fell From the Sky
Janis Joplin,2003,110,Flower in the Sun
The Fiery Furnaces,2008,110,Oh Sweet Woods
Ornette Coleman,2015,110,Lonely Woman
Yonderboi,2010,110,Love Hides
Vavamuffin,2005,110,Sekta
Mogwai,2011,109,White Noise
Propagandhi,2009,109,Supporting Caste
Lutan Fyah,2007,109,Hammer Dem Down
Vangelis,1988,109,Metallic Rain
The Warlocks,2007,109,So Paranoid
Cradle of Filth,2007,109,Malice Through the Looking Glass
Ensiferum,2016,109,By the Dividing Stream
L'Arc~en~Ciel,2002,109,Spirit dreams inside
She Wants Revenge,2011,109,Suck It Up
Amorphis,1994,109,Moon And Sun Part II: North's Son
Sheryl Crow,1993,109,What I Can Do For You
Ibrahim Ferrer,2003,109,Buenos Hermanos
Ministry,1983,109,What He Say
Efterklang,2009,109,Mimeo
Ringo Deathstarr,2015,109,Stare at the Sun
David Bowie,1976,109,Golden Years
Swans,1997,109,Blood and Honey
Job for a Cowboy,2005,109,Relinquished
A Great Big World,2014,109,Say Something
Jeff Buckley,1998,109,Morning Theft
Supergrass,2002,109,Prophet 15
Verjnuarmu,2006,109,Vihankylyväjä
Dead Meadow,2008,109,What Needs Must Be
Juli,2006,108,Ein neuer Tag
Shout Out Louds,2010,108,Throwing Stones
Portishead,2014,108,Glory Box
London Elektricity,2003,108,Fast Soul Music
Republika,1993,108,Prośba Do Następcy
Moby,2000,108,Into The Blue
Light This City,2006,108,Cradle For A King
Beth Orton,2006,108,Safe in Your Arms
Midtown,2000,108,Knew It All Along
Immortal,2002,108,Demonium
Paul Cardall,2005,108,Live to Love
Amorphis,2013,108,The Wanderer
Indian Vibes,2011,108,Mathar (Discovery of India mix)
Supreme Beings of Leisure,2002,108,Divine
The Byrds,1965,108,Spanish Harlem Incident
Section 25,1981,108,Friendly Fires
Freedom Call,2002,108,Flame in the Night
Boney M.,2010,108,Ma Baker
Chicago,2010,107,Make Me Smile
RuPaul,2009,107,Cover Girl
Daedelus,2013,107,Like Clockwork Springs
Roxy Music,2004,107,Same Old Scene
Belphegor,2006,107,Angel Of Retribution
Ali Farka Touré,2000,107,Allah Uya
Iron Butterfly,2013,107,In-A-Gadda-Da-Vida
My Morning Jacket,2003,107,Just One Thing
Neaera,2007,107,The Escape from Escapism
Ocean Colour Scene,1996,107,You've Got It Bad
The Tiger Lillies,2002,107,Heroin & Cocaine
Edguy,2017,107,The Piper Never Dies
The Cure,2013,107,The Lovecats
Thurston Moore,2007,107,Honest James
Toro y Moi,2013,107,Say That
Meghan Trainor,2015,107,Title
U2,2000,107,Walk On
VNV Nation,2005,107,Interceptor
In Flames,2005,107,The Inborn Lifeless
3OH!3,2009,106,Still Around
Him,2003,106,The Path
Static-X,2005,106,Just in Case
Sponge,2012,106,Plowed
Sportfreunde Stiller,2004,106,Im Namen der Freundschaft
The Three Degrees,1973,106,When Will I See You Again
Clan of Xymox,1999,106,Undermined
Stone Temple Pilots,1999,106,Atlanta
Panzer AG,2006,106,Aenimal
Avishai Cohen Trio,2008,106,Eleven Wives
David Arkenstone,1996,106,The North Wind
Logistics,2005,106,Thunderchild
Coralie Clément,2005,106,L'impasse
Bluetech,2009,106,Honey in the Heart
Mötley Crüe,2009,106,Too Fast For Love
Łąki Łan,2009,106,Wielki Edek
Tactical Sekt,2006,106,You're Fired
Luigi Boccherini,2009,106,Minuet
L7,1994,105,Andres
Neaera,2005,105,Where Submission Reigns
Songs: Ohia,2003,105,Hold on Magnolia
2raumwohnung,2002,105,Ich weiß warum
Jagged Edge,2015,105,Where The Party At
Three Days Grace,2009,105,Lost In You
Aloe Blacc,2010,105,Miss Fortune
Esbjörn Svensson Trio,2012,105,From Gagarin's Point Of View
P!nk,2008,105,Sober
The Promise Ring,1997,105,Is This Thing On?
Royal Blood,2014,105,Come on Over
Satyricon,1999,105,Filthgrinder
The Funky Lowlives,2005,105,Float Through Stars
Don Carlos,2012,105,Lazer Beam
Alice in Chains,2015,105,Put You Down
Robyn,2010,105,Love Kills
Noah and the Whale,2008,104,Shape of My Heart
Harmonic 313,2009,104,Dirtbox
Calogero,2013,104,Si Seulement Je Pouvais Lui Manquer
Beherit,1993,104,Nuclear Girl
Voodoo Glow Skulls,1995,104,Closet Monster
Electric Light Orchestra,1974,104,Laredo Tornado
Scorpions,1985,104,Can't Live Without You
Bruce Dickinson,1998,104,Machine Men
Sham 69,1998,104,If the Kids Are United
The Waitresses,2009,104,I Know What Boys Like
Carl Craig,2007,104,A Wonderful Life
Eric Hutchinson,2018,104,All Over Now
Regina Spektor,2012,104,Open
Tom Odell,2016,104,Long Way Down
maudlin of the Well,2001,104,Geography
The Brian Jonestown Massacre,2001,104,You Have Been Disconnected
µ-Ziq,1999,104,Burst Your Arm
Finntroll,2009,104,Korpens Saga
"Medeski, Martin and Wood",2010,104,Ten Dollar High
Synkro,2013,104,Acceptance
mind.in.a.box,2007,104,What Used to Be
Concord Dawn,2003,104,Scimitar
Queen,2016,104,Bohemian Rhapsody
Cult of Luna,2004,104,White Cell
school food punishment,2009,104,flow
Justice,2012,104,New Lands
Moneybrother,2005,104,Blow Him Back Into My Arms
Teenage Fanclub,1997,104,I Don't Want Control Of You
B.J. Thomas,2011,104,Hooked On A Feeling
Kevin Drew,2009,104,Love Vs. Porn
Bing Crosby,2012,104,God Rest Ye Merry Gentlemen
Die Form,2000,103,Silent Order
Marjorie Estiano,2005,103,Você Sempre Será
Five Horse Johnson,2001,103,Mississippi King
Enya,2013,103,We Wish You a Merry Christmas
The Congos,1977,103,Ark Of The Covenant
Jacob Miller,2008,103,Tired Fe Lick Weed In A Bush
Papa Roach,2004,103,Not Listening
Lifelover,2008,103,Brand
Sikth,2003,103,Pussyfoot
John Cale,1973,103,Graham Greene
Rainbow,1975,103,Self Portrait
The Chemical Brothers,2013,103,Setting Sun
Molotov Solution,2011,103,The Final Hour
Diablo,2008,103,Bad Sign
Nick Cave & The Bad Seeds,1985,103,Tupelo
J.J. Cale,1974,103,The Old Man And Me
Santana,2011,103,Africa Bamba
Gudda Gudda,2009,103,Every Sound
Tom Waits,1996,103,The Fall Of Troy
Carcass,1991,102,Corporal Jigsore Quandary
Socalled,2009,102,You Are Never Alone
Planet Funk,2002,102,All Man's Land
Sturgill Simpson,2015,102,Turtles All The Way Down
Saxon,2013,102,Princess of the Night
Saves the Day,2007,102,Can't Stay The Same
The Magnetic Fields,1999,102,My Only Friend
Borknagar,2000,102,Icon Dreams
Curse,2008,102,Freiheit
Claire Laffut,2018,102,Vérité
Soulfly,2008,102,Doom
Mazzy Star,2012,102,Fade Into You
Joanna Gruesome,2015,102,Last Year
Red Hot Chili Peppers,2014,102,Coffee Shop
The Evpatoria Report,2009,102,Acheron
Jefferson Airplane,2003,102,Don't Slip Away
Madrugada,2005,102,Elektro Vakuum
My Dying Bride,1992,102,Silent Dance
Utada,2005,102,Tippy Toe
The Civil Wars,2011,102,The Violet Hour
Kiuas,2005,102,Across The Snows
Fernanda Porto,2004,102,Roda Viva
Smif-n-Wessun,1995,102,K.I.M.
Drumcorps,2006,101,Grainbeast
Kids in Glass Houses,2008,101,Easy Tiger
Chelsea Wolfe,2015,101,Grey Days
Glenn Miller,2001,101,In the Mood
Biffy Clyro,2003,101,Questions And Answers
Udo Jürgens,2001,101,Aber bitte mit Sahne
Caspa,2008,101,Born To Do It
Parts & Labor,2008,101,Nowheres Nigh
Empyrium,2006,101,Heimwärts
Andhim,2014,101,Boy Boy Boy
Wolfchant,2006,101,Midnight Gathering
Bad Religion,2004,101,The Quickening
Delerium,2000,101,Fallen Icons
Allister,2019,101,Radio Player
Head Wound City,2005,101,Radical Friends
Bad Religion,1990,101,God Song
David Bowie,2011,101,Cat People
Visions of Atlantis,2004,101,Winternight
Timo Räisänen,2006,101,"Fear no Darkness, Promised Child"
Ella Fitzgerald & Louis Armstrong,2010,101,Cheek to Cheek
Veronica Falls,2012,101,Teenage
Fugees,2015,101,Killing Me Softly
Herbie Hancock,2013,101,Watermelon Man
Explosions in the Sky,2001,100,The Moon Is Down
Maria Rita,2005,100,Ciranda Do Mundo
Twenty One Pilots,2015,100,Stressed Out
Far East Movement,2009,100,Fetish
Chastity Belt,2017,100,Different Now
Hellhammer,2002,100,Triumph Of Death
Charlotte Church,2008,100,Crazy Chick
Logistics,2007,100,Wide Lens
Pati Yang,2007,100,All That Is Thirst
Hund am Strand,2005,100,Jungen Mädchen
Gavin Bryars,2007,100,The Vespertine Park
Nicolette,2010,100,No Government
Manowar,1992,100,Ride the Dragon
Dio,1996,100,Institutional Man
Venetian Snares,2003,100,Einstein-Rosen Bridge
Katatonia,2014,100,I Transpire
Diary of Dreams,2009,100,Requiem 4.21
Ideal,2011,100,Blaue Augen
Flow,2010,100,Sign
Neko Case,2012,100,Nothing to Remember
9 Lazy 9,2003,100,The Woodworm
Son By Four,2007,100,A Puro Dolor
Audio Bullys,2005,100,Eq-ing
Smile Empty Soul,2005,100,Not Alright
Greeley Estates,2010,99,Swim For Your Lives
Ruoska,2006,99,Sika
To/Die/For,2001,99,Immortal Love
Slagsmålsklubben,1991,99,Wellington Sears
Gui Boratto,2008,99,Mala Strana
Elle Varner,2012,99,Refill
Lara & Reyes,1998,99,El Castillo
Lacrimosa,1994,99,Seele in Not
Gravediggaz,1997,99,Dangerous Mindz
Placebo,1996,99,I Know
Cradle of Filth,2013,99,Sin Deep My Wicked Angel
Eighteen Visions,2002,99,You Broke Like Glass
Crystal Fighters,2011,99,Solar System
Monster Magnet,1995,99,Blow 'Em Off
Current 93,2005,99,A Gothic Love Song (For N.)
L'Arc~en~Ciel,1998,99,Promised land
Mr. Flash,2014,99,Disco Dynamite
Madonna,1994,99,Bedtime Story
Letzte Instanz,1990,98,Bittere Nacht
Echo & the Bunnymen,1981,98,No Dark Things
Traffic,1995,98,Empty Pages
Iron Maiden,1988,98,The Prophecy
Robert Miles,1996,98,Red Zone
edIT,2004,98,Ashtray
Oliver Mtukudzi,1998,98,Ndima Ndapedza
Suicide,2007,98,Dream Baby Dream
Clint Black,1997,98,Nothin' But The Taillights
Michael Jackson,2009,98,I Just Can't Stop Loving You
Tiger Army,2007,98,Hechizo De Amor
Eyedea & Abilities,2009,98,Burn Fetish
Michael Kiwanuka,2013,98,I'm Getting Ready
Devendra Banhart,2005,98,The Beatles
Il Divo,2011,98,When A Child Is Born
Bob Dylan,2002,98,Blowin' in the Wind
Deep Blue,2003,98,The Helicopter Tune
Jimi Hendrix,2001,98,Third Stone From The Sun
Katatonia,1993,98,The Northern Silence
Nneka,2010,98,Africans
Melt-Banana,2000,98,Free the Bee
Felt,2009,98,Primitive Painters
Fela Kuti,2001,97,Black Man's Cry
Veronica Falls,2010,97,Found Love in a Graveyard
Add N To (X),2002,97,Total All Out Water
Paramore,2009,97,Feeling Sorry
Sunlounger,2013,97,Another Day On The Terrace
The Specials,2008,97,Racist Friend
Guttermouth,2003,97,End On 9
Sasha,2006,97,If You Believe
The Animals,2014,97,I'm Crying
Memphis May Fire,2012,97,Prove Me Right
Lucky Soul,2007,97,Lips Are Unhappy
The Agonist,2007,97,Synopsis
John Maus,2007,97,Tenebrae
The Allman Brothers Band,1989,97,It's Not My Cross To Bear
Motorama,2013,97,Ship
Ulver,2005,97,Your Call
Anne Hathaway,2012,97,I Dreamed a Dream
Earlimart,2004,97,It's Okay to Think About Ending
Mission of Burma,2012,97,Trem Two
Billie the Vision & the Dancers,2004,97,No One Knows You
Blue States,2003,97,Stereo 99
Nile,2010,96,Ithyphallic
Pryda,2012,96,F12
Sparklehorse,1995,96,Little Bastard Choo Choo
Thievery Corporation,2014,96,Fragments
My Dying Bride,1998,96,The Stance Of Evander Sinque
Disturbed,2010,96,Asylum
Autechre,1998,96,777
Justin Bieber,2012,96,Take You
Lovehatehero,2009,96,America Underwater
Dimmu Borgir,1996,96,Sorgens Kammer
Lords of Acid,2017,96,I Sit On Acid (Soulwax remix)
Siriusmo,2009,96,Let Me In!
Detonautas Roque Clube,2014,96,Quando o Sol se For
Moonspell,2006,96,Memento Mori
Morcheeba,2010,96,Recipe For Disaster
Brian Crain,2016,96,Wind
Powerwolf,2007,96,In Blood We Trust
Fool's Garden,2009,96,Lemon Tree
God Module,2007,96,Falling In Space
Iron Maiden,1980,96,Iron Maiden
Biosphere,2007,96,Baby Interphase
Caravan Palace,2008,95,We Can Dance
Atheist,1989,95,No Truth
Bathory,1996,95,One Eyed Old Man
Tame Impala,2015,95,Let It Happen
All Time Low,2011,95,Guts
Gentleman,2004,95,After A Storm
August Burns Red,2004,95,Glory Thrives
Minks,2013,95,Everything's Fine
The Wonder Years,2013,95,My Geraldine Lies Over the Delaware
Laroque,2006,95,Visitations
Band of Skulls,2009,95,Patterns
Fluke,1993,95,Spacey (Catch 22 Dub)
The Flying Burrito Brothers,2000,95,Hot Burrito #1
Django Django,2012,95,Hand of Man
The Fiery Furnaces,2003,95,Bright Blue Tie
Johnny Winter,2002,95,Dallas
The Velvet Underground,1998,95,I'm Set Free
Childish Gambino,2016,95,zombies
Vast,2009,95,Touched
The Outfield,2009,95,Your Love
Agnes Obel,2010,95,Avenue
Justice,2011,95,Helix
Karunesh,2013,95,Layers of Tranquility
Engelbert Humperdinck,1991,94,A Man Without Love
Viraemia,2009,94,Necrotizing Fasciitis
mind.in.a.box,2004,94,Light & Dark
Lifelover,2006,94,M/S Salmonella
Circle Jerks,1982,94,Political Stu
2002,1997,94,To Touch The Sky
Charlie Daniels Band,2010,94,Long Haired Country Boy
Miranda Sex Garden,1994,94,The Wooden Boat
Arkona,2013,94,Zov Predkov
Tommy James & The Shondells,1968,94,Crystal Blue Persuasion
Kavinsky,2006,94,The Crash
Vader,2005,94,Banners on the Wind
Los Bravos,2009,94,Black Is Black
Judge Dread,2013,94,Big Six
John Mellencamp,2004,94,Authority Song
Gil Scott-Heron,2009,94,The Bottle
The Locust,2004,94,Pulling The Christmas Pig By The Wrong Pair Of Ears
Funki Porcini,2004,94,Purrfect
Lucienne Boyer,2008,94,Parlez-moi d'amour
The Cars,2019,94,Moving In Stereo
Kaizers Orchestra,2008,94,Maskineri
Bob Dylan,1967,94,Dear Landlord
Sevendust,2000,93,Waffle
Slayer,1991,93,Mandatory Suicide
Máire Brennan,2006,93,Oró
Alien Ant Farm,2003,93,S.S. Recognize
L'Âme Immortelle,1997,93,The Night is my Shelter
Squarepusher,2004,93,Circlewave
Compay Segundo,2011,93,Juramento
Soap&Skin,2009,93,Cry Wolf
The Ventures,2011,93,Perfidia
The Word Alive,2011,93,Like Father Like Son
The Kilimanjaro Darkjazz Ensemble,2016,93,Samhain Labs
Zella Day,2014,93,Compass
Hooverphonic,1998,93,Lung
Lusine,2009,93,Every Disguise
Ishome,2013,93,Adam
Laurie Anderson,1982,93,Sweaters
Fact,2010,93,Slip of the Lip
Catamenia,2006,92,Gallery of Fear
Overkill,1987,92,Use Your Head
Raimundos,2010,92,A Mais Pedida
Spacehog,1995,92,In the Meantime
Magnolia Electric Co.,2005,92,The Dark Don't Hide It
