occurences,year,artist
587,2014,Die Antwoord
587,2014,The Beatles
575,2014,Elbow
565,2014,Keziah Jones
563,2014,Travis
558,2014,::M\u2206DE::IN::HEIGHTS::
539,2014,Red House Painters
534,2014,Little River Band
512,2014,Sonic Syndicate
512,2014,Vince Guaraldi Trio
508,2014,Kruder & Dorfmeister
496,2014,Morrissey
494,2014,Echosmith
490,2014,Paul Kalkbrenner
480,2014,Smif-n-Wessun
475,2014,Opus III
474,2014,Coldcut
470,2014,All Shall Perish
470,2014,Celtic Spirit
470,2014,Ludwig van Beethoven
468,2014,Rita Ora
465,2014,Maps
460,2014,A Guy Called Gerald
458,2014,Cake
449,2014,Destruction
447,2014,The Marshall Tucker Band
435,2014,Mike & The Mechanics
434,2014,Cymande
430,2014,Cold War Kids
426,2014,Death
426,2014,Lynyrd Skynyrd
424,2014,The Script
413,2014,Serge Gainsbourg
406,2014,Blue Cheer
403,2014,Monsieur Perin\u00e9
399,2014,Ben Howard
395,2014,Immortal
375,2014,Cypress Hill
373,2014,Frank Sinatra
372,2014,Fragma
366,2014,S Club 7
366,2014,Solomon Burke
363,2014,Demilich
361,2014,Diana Krall
361,2014,Pearl Jam
361,2014,Ray Charles
355,2014,Andrew W.K.
351,2014,La Roux
347,2014,Bill Evans
344,2014,B.B. King
338,2014,H\u00e5kan Hellstr\u00f6m
334,2014,Soilwork
332,2014,Shuggie Otis
331,2014,BBE
331,2014,Duran Duran
326,2014,Pink Floyd
318,2014,Lana Del Rey
317,2014,Ziggy Marley & The Melody Makers
310,2014,Big D And The Kids Table
310,2014,Jo\u00e3o Gilberto
306,2014,Fukkk Offf
306,2014,Jawbreaker
304,2014,DeadLock
303,2014,Magic!
302,2014,ASP
287,2014,Bahamas
282,2014,Marilyn Manson
277,2014,John Newman
275,2014,Benediction
274,2014,Autolux
274,2014,Frank Zappa
273,2014,Korn
272,2014,Lisa Gerrard
270,2014,Third World
266,2014,Boards of Canada
265,2014,Lykke Li
259,2014,Ariana Grande
255,2014,Skrillex
253,2014,Mastodon
250,2014,Charli XCX
249,2014,A Sunny Day In Glasgow
249,2014,Brotherhood of Man
247,2014,After Forever
243,2014,Elvis Presley
235,2014,R\u00f6yksopp
234,2014,Astral Projection
234,2014,Sabaton
232,2014,Train
231,2014,Amaranthe
229,2014,Horace Silver
226,2014,Interpol
225,2014,Francesco De Gregori
224,2014,Edguy
223,2014,Yo La Tengo
219,2014,Gene Pitney
219,2014,Skunk Anansie
217,2014,Lissie
217,2014,Muddy Waters
203,2014,Gouryella
196,2014,James Horner
195,2014,Arcangelo Corelli
189,2014,Deer Tick
189,2014,Jarabe de Palo
189,2014,Kataklysm
189,2014,Os Mutantes
188,2014,Junior Kelly
186,2014,Rhapsody of Fire
183,2014,Behemoth
182,2014,Compay Segundo
179,2014,Tinariwen
178,2014,Bryan Adams
177,2014,Francisco T\u00e1rrega
177,2014,Robbie Williams
173,2014,Jungle
172,2014,Kele
171,2014,Demi Lovato
171,2014,Xscape
170,2014,Shura
170,2014,Stevie Wonder
170,2014,The Velvet Underground
169,2014,Alvvays
169,2014,Brandy
168,2014,The Beloved
167,2014,Amerie
167,2014,Bloodbath
167,2014,Ive Mendes
162,2014,The Young Rascals
161,2014,Mahmoud Ahmed
160,2014,Montgomery Gentry
159,2014,Arsis
156,2014,Fr\u00e9d\u00e9ric Chopin
154,2014,The Dillinger Escape Plan
153,2014,Dragonland
151,2014,Korpiklaani
151,2014,Opeth
148,2014,Allie X
147,2014,R.E.M.
147,2014,She & Him
143,2014,Basic Channel
140,2014,Dungen
139,2014,Bill Haley & His Comets
139,2014,\u30ae\u30eb\u30ac\u30e1\u30c3\u30b7\u30e5
137,2014,Billie Holiday
136,2014,Arca
136,2014,Rick James
134,2014,Dagoba
132,2014,Trey Songz
131,2014,Pharrell Williams
125,2014,Uncle Tupelo
120,2014,The Head and the Heart
119,2014,Run the Jewels
118,2014,Mobb Deep
117,2014,Powerwolf
116,2014,One Direction
114,2014,Modulate
113,2014,Dobet Gnahor\u00e9
113,2014,Metronomy
112,2014,Slipknot
112,2014,The Blackwood Brothers
111,2014,Kenny Burrell
111,2014,Nothing More
109,2014,A Great Big World
108,2014,Portishead
105,2014,Royal Blood
102,2014,Red Hot Chili Peppers
101,2014,Andhim
100,2014,Katatonia
99,2014,Mr. Flash
97,2014,The Animals
96,2014,Detonautas Roque Clube
96,2014,Thievery Corporation
93,2014,Zella Day
89,2014,David Bowie
89,2014,Hazel O'Connor
88,2014,Buddy Rich
88,2014,FKA twigs
88,2014,Fennesz
88,2014,Stratovarius
87,2014,Albert Collins
87,2014,Stasis
86,2014,Acid King
86,2014,Imagine Dragons
85,2014,Nightmares on Wax
85,2014,Peter Gabriel
84,2014,Bertie Higgins
82,2014,Jessie J
79,2014,Samuel Barber
79,2014,Tinashe
78,2014,Evelyn \Champagne\ King
78,2014,Zola Jesus
77,2014,Theo Parrish
74,2014,Relient K
74,2014,The Doobie Brothers
74,2014,Wilki
73,2014,Flying Lotus
72,2014,Angus & Julia Stone
72,2014,Genesis
72,2014,Kool & The Gang
71,2014,Estrella Morente
71,2014,Moonbeam
70,2014,Thelonious Monk
69,2014,Duke Dumont
68,2014,David Essex
68,2014,Dr. Dog
68,2014,Roy Orbison
68,2014,Whirr
66,2014,La Bouche
65,2014,Edenbridge
65,2014,Frank Turner
65,2014,The Beach Boys
64,2014,Beyonc\u00e9
62,2014,Zyklon
61,2014,Depeche Mode
60,2014,Astrud Gilberto
60,2014,Carrie Underwood
60,2014,Chezidek
60,2014,Chico Science & Na\u00e7\u00e3o Zumbi
60,2014,Imperia
60,2014,Louis Prima
60,2014,Queen
59,2014,John Denver
58,2014,Flipsyde
58,2014,Joan Baez
58,2014,M\u00d8
57,2014,London Grammar
57,2014,Miley Cyrus
56,2014,Son House
56,2014,Sweetbox
55,2014,Jessie Ware
55,2014,Lil' Kim
55,2014,Maroon 5
54,2014,Ne-Yo
54,2014,Talking Heads
53,2014,William Basinski
52,2014,2 Chainz
52,2014,Banks
52,2014,Riot
50,2014,Creed
50,2014,Funker Vogt
49,2014,Songs: Ohia
48,2014,Blue
48,2014,Scooter
47,2014,Arch Enemy
47,2014,George Benson
47,2014,Knife Party
47,2014,Richard Thompson
45,2014,D'Angelo
45,2014,Gipsy Kings
45,2014,Noisia
45,2014,Sia
44,2014,Beck
